Model,Defense,Attack,Epsilon,SampleScope,CleanMacroF1,AttackMacroF1,MacroF1Drop,MacroF1Retention,CleanAUC,AttackAUC,AUCdrop,AUCRetention,CleanHamming,AttackHamming,HammingIncrease,MicroF1Change
Fine-tuned,CLAHE,FGSM,8.0,Full test,0.10379905155658072,0.09478897188022321,0.009010079676357502,0.9131968978401876,0.6705591337340376,0.6561592082481297,0.01439992548590796,0.978525494976526,0.08158508158508158,0.09543234543234544,0.013847263847263855,-0.005159000090209365
Fine-tuned,CLAHE,FGSM,16.0,Full test,0.10379905155658072,0.08093818496297522,0.02286086659360549,0.7797584250454922,0.6705591337340376,0.6315495255704703,0.039009608163567355,0.9418252526867531,0.08158508158508158,0.10445110445110445,0.022866022866022864,-0.017142340632273517
Fine-tuned,CLAHE,FGSM,32.0,Full test,0.10379905155658072,0.061736408977269605,0.04206264257931111,0.5947685267973492,0.6705591337340376,0.598955443079591,0.0716036906544466,0.8932179325397921,0.08158508158508158,0.09052059052059053,0.008935508935508943,-0.04309907662754922
Fine-tuned,CLAHE,PGD,8.0,Full test,0.10379905155658072,0.08340853516405604,0.020390516392524677,0.8035577773905782,0.6705591337340376,0.6362079999944253,0.034351133739612294,0.9487724019978275,0.08158508158508158,0.12556887556887558,0.043983793983794,-0.027410413547162477
Fine-tuned,CLAHE,PGD,16.0,Full test,0.10379905155658072,0.07725549468463153,0.02654355687194919,0.7442793891283261,0.6705591337340376,0.6058235985504083,0.06473553518362929,0.9034603632596179,0.08158508158508158,0.15207015207015206,0.07048507048507048,-0.035636938903270576
Fine-tuned,CLAHE,PGD,32.0,Full test,0.10379905155658072,0.07180805937061852,0.0319909921859622,0.691798800603453,0.6705591337340376,0.5922822908142503,0.07827684291978732,0.8832663086939114,0.08158508158508158,0.15895215895215895,0.07736707736707736,-0.04217469885044817
Fine-tuned,CLAHE,DeepFool,8.0,Full test,0.10379905155658072,0.06011120083602741,0.043687850720553305,0.5791112725462706,0.6705591337340376,0.5555309475987109,0.11502818613532673,0.8284592956108325,0.08158508158508158,0.15700965700965702,0.07542457542457544,-0.07005412130372586
Fine-tuned,CLAHE,DeepFool,16.0,Full test,0.10379905155658072,0.04728419458148255,0.056514856975098164,0.4555359020376791,0.6705591337340376,0.5040523794581672,0.16650675427587047,0.7516896782112706,0.08158508158508158,0.18034743034743034,0.09876234876234875,-0.09393049206424013
Fine-tuned,CLAHE,DeepFool,32.0,Full test,0.10379905155658072,0.03401067969568415,0.06978837186089656,0.32765886764528845,0.6705591337340376,0.4681402095482521,0.20241892418578555,0.69813411822667,0.08158508158508158,0.15728715728715728,0.0757020757020757,-0.10395995351747565
Fine-tuned,CLAHE,C&W,8.0,300-image attack subset,0.20824657138620156,0.05997917534882858,0.148267396037373,0.2880199897149558,0.7793202199394476,0.5462012032806007,0.23311901665884682,0.7008687690960207,0.07595238095238095,0.1676190476190476,0.09166666666666666,-0.15891177218408342
Fine-tuned,CLAHE,C&W,16.0,300-image attack subset,0.20824657138620156,0.05579939377953007,0.15244717760667148,0.2679486793376678,0.7793202199394476,0.48253931961970614,0.2967809003197414,0.6191797765201049,0.07595238095238095,0.1976190476190476,0.12166666666666666,-0.17023980303489084
Fine-tuned,CLAHE,C&W,32.0,300-image attack subset,0.20824657138620156,0.03947883583227201,0.16876773555392954,0.18957736288035656,0.7793202199394476,0.4724703569676676,0.30684986297177996,0.6062595899338761,0.07595238095238095,0.1869047619047619,0.11095238095238096,-0.18387620110660313
Fine-tuned,CLAHE,Square,8.0,300-image attack subset,0.20824657138620156,0.09134121886496048,0.11690535252124108,0.43862051728844337,0.7793202199394476,0.6123186828385492,0.16700153710089838,0.785708707629998,0.07595238095238095,0.10071428571428571,0.024761904761904763,-0.10764664567143215
Fine-tuned,CLAHE,Square,16.0,300-image attack subset,0.20824657138620156,0.08749272554057788,0.12075384584562368,0.4201400530062948,0.7793202199394476,0.5884962062967135,0.19082401364273405,0.7551404303900123,0.07595238095238095,0.11952380952380952,0.043571428571428567,-0.11514072841303966
Fine-tuned,CLAHE,Square,32.0,300-image attack subset,0.20824657138620156,0.06843108922199452,0.13981548216420703,0.32860607868105707,0.7793202199394476,0.5216926755304688,0.2576275444089787,0.6694201718146153,0.07595238095238095,0.14952380952380953,0.07357142857142858,-0.13982897747802
Adversarially trained,Adversarial Training,FGSM,8.0,Full test,0.19752230078710564,0.1808275824580806,0.016694718329025054,0.9154793242965561,0.7712600632932759,0.7703316348222852,0.0009284284709907276,0.9987962186619306,0.07298257298257298,0.09071484071484072,0.017732267732267742,0.002954005111938496
Adversarially trained,Adversarial Training,FGSM,16.0,Full test,0.19752230078710564,0.16763611924787192,0.029886181539233725,0.8486946465278076,0.7712600632932759,0.7379638103255521,0.03329625296772376,0.9568287604241441,0.07298257298257298,0.1056998556998557,0.03271728271728272,-0.012785368453252344
Adversarially trained,Adversarial Training,FGSM,32.0,Full test,0.19752230078710564,0.14048785633501504,0.057034444452090605,0.7112506070210081,0.7712600632932759,0.695133430153149,0.07612663314012691,0.901295766806508,0.07298257298257298,0.12734487734487734,0.05436230436230437,-0.04319052859484562
Adversarially trained,Adversarial Training,PGD,8.0,Full test,0.19752230078710564,0.16018701573258703,0.03733528505451861,0.8109819250497721,0.7712600632932759,0.7524184130138041,0.018841650279471822,0.9755703021896167,0.07298257298257298,0.12551337551337552,0.05253080253080254,-0.03390350313214377
Adversarially trained,Adversarial Training,PGD,16.0,Full test,0.19752230078710564,0.1214838548565327,0.07603844593057295,0.6150386785311445,0.7712600632932759,0.7166359667071657,0.05462409658611023,0.9291755152563382,0.07298257298257298,0.19658119658119658,0.1235986235986236,-0.08561763578037751
Adversarially trained,Adversarial Training,PGD,32.0,Full test,0.19752230078710564,0.10350509794719455,0.0940172028399111,0.5240172756936183,0.7712600632932759,0.6835074744579295,0.08775258883534642,0.8862217907917552,0.07298257298257298,0.23196248196248195,0.158979908979909,-0.105108989308444
Adversarially trained,Adversarial Training,DeepFool,8.0,Full test,0.19752230078710564,0.10287523791318477,0.09464706287392087,0.5208284710295381,0.7712600632932759,0.6920357542157836,0.07922430907749234,0.8972793836372066,0.07298257298257298,0.22358197358197357,0.15059940059940058,-0.13211949813934598
Adversarially trained,Adversarial Training,DeepFool,16.0,Full test,0.19752230078710564,0.047347175987539666,0.15017512479956596,0.2397054702120527,0.7712600632932759,0.4782913823642854,0.2929686809289905,0.6201428093164633,0.07298257298257298,0.45582195582195584,0.38283938283938285,-0.19023151597181545
Adversarially trained,Adversarial Training,DeepFool,32.0,Full test,0.19752230078710564,0.02990677687212218,0.16761552391498347,0.15140962186521123,0.7712600632932759,0.30155508042797535,0.46970498286530055,0.3909901403948455,0.07298257298257298,0.5916028416028416,0.5186202686202687,-0.20331819493513872
Adversarially trained,Adversarial Training,C&W,8.0,300-image attack subset,0.2222957851634322,0.12340851256284349,0.09888727260058872,0.5551545319319183,0.785294311721764,0.6948952826044551,0.0903990291173089,0.8848851599101637,0.07047619047619047,0.2280952380952381,0.15761904761904763,-0.13249544626593807
Adversarially trained,Adversarial Training,C&W,16.0,300-image attack subset,0.2222957851634322,0.050268019019108004,0.1720277661443242,0.22613122863373625,0.785294311721764,0.4418133672042354,0.3434809445175286,0.5626086431666061,0.07047619047619047,0.45071428571428573,0.38023809523809526,-0.19945409429280397
Adversarially trained,Adversarial Training,C&W,32.0,300-image attack subset,0.2222957851634322,0.028681248717551417,0.19361453644588078,0.12902290835818106,0.785294311721764,0.21333684228067293,0.571957469441091,0.2716648256536205,0.07047619047619047,0.5788095238095238,0.5083333333333333,-0.21595753047581598
Adversarially trained,Adversarial Training,Square,8.0,300-image attack subset,0.2222957851634322,0.2070459176327118,0.015249867530720412,0.931398305552628,0.785294311721764,0.7569062898962682,0.028388021825495824,0.9638504680324822,0.07047619047619047,0.10095238095238095,0.030476190476190476,-0.02258992805755397
Adversarially trained,Adversarial Training,Square,16.0,300-image attack subset,0.2222957851634322,0.17967811937574113,0.04261766578769108,0.8082839683336394,0.785294311721764,0.7310186668390475,0.05427564488271652,0.9308849636721337,0.07047619047619047,0.12833333333333333,0.05785714285714286,-0.058518518518518525
Adversarially trained,Adversarial Training,Square,32.0,300-image attack subset,0.2222957851634322,0.12694176999834234,0.09535401516508987,0.5710489288180365,0.785294311721764,0.6939639100567147,0.09133040166504935,0.8836991427267482,0.07047619047619047,0.2211904761904762,0.15071428571428572,-0.1146458141674333
Adversarially trained,Adversarial Training + CLAHE,FGSM,8.0,Full test,0.11971989171644234,0.12617251076414018,-0.0064526190476978385,1.0538976351814695,0.6631084099508986,0.6829164524590192,-0.019808042508120627,1.029871499457513,0.15523365523365523,0.13983238983238983,-0.015401265401265407,0.018278011270792816
